REVENUE,CROSS_SELL_SUCCESS,NAME,EMAIL,FIRST_NAME,FAMILY_NAME,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CONTACTS_W_CUSTOMER_SERVICE,PRODUCT_CATEGORIES_VIEWED,AVG_TIME_PER_SITE_VISIT,MOBILE_NUMBER,CANCELLATIONS_BEFORE_NOON,CANCELLATIONS_AFTER_NOON,TASTES_AND_PREFERENCES,PC_LOGINS,MOBILE_LOGINS,WEEKLY_PLAN,EARLY_DELIVERIES,LATE_DELIVERIES,PACKAGE_LOCKER,REFRIGERATED_LOCKER,AVG_PREP_VID_TIME,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED,MEDIAN_MEAL_RATING,AVG_CLICKS_PER_VISIT,TOTAL_PHOTOS_VIEWED
393.00,1,Saathos,saathos@unitedhealth.com,Saathos,Saathos,14.00,6.00,12.00,10.00,48.00,1.00,3.00,1.00,1.00,5.00,2.00,0.00,0.00,2.00,0.00,0.00,33.40,1.00,0.00,1.00,17.00,0.00
1365.00,1,Alysanne Osgrey,alysanne.osgrey@ge.org,Alysanne,Osgrey,87.00,3.00,8.00,8.00,40.35,1.00,0.00,0.00,1.00,5.00,1.00,12.00,0.00,2.00,0.00,0.00,84.80,1.00,0.00,3.00,13.00,170.00
800.00,1,Edwyd Fossoway,edwyd.fossoway@jnj.com,Edwyd,Fossoway,15.00,7.00,11.00,5.00,19.77,1.00,3.00,0.00,1.00,6.00,1.00,1.00,0.00,1.00,0.00,0.00,63.00,1.00,0.00,2.00,16.00,0.00
600.00,1,Eleyna Westerling,eleyna.westerling@ge.org,Eleyna,Westerling,13.00,6.00,11.00,5.00,90.00,1.00,2.00,0.00,1.00,6.00,1.00,14.00,0.00,3.00,0.00,0.00,43.80,1.00,0.00,2.00,14.00,0.00
1490.00,1,Elyn Norridge,elyn.norridge@jnj.com,Elyn,Norridge,47.00,8.00,6.00,10.00,40.38,1.00,0.00,0.00,0.00,5.00,1.00,5.00,0.00,8.00,0.00,0.00,84.80,1.00,1.00,3.00,12.00,205.00
1550.00,1,Genna Lannister,genna.lannister@protonmail.com,Genna,Lannister,36.00,2.00,9.00,1.00,190.18,1.00,4.00,0.00,1.00,4.00,1.00,0.00,0.00,3.00,1.00,0.00,78.80,1.00,1.00,3.00,12.00,0.00
1430.00,1,Olene Tyrell,olene.tyrell@mcdonalds.com,Olene,Tyrell,61.00,7.00,6.00,2.00,154.20,1.00,1.00,0.00,1.00,6.00,1.00,45.00,1.00,2.00,1.00,1.00,84.80,1.00,0.00,3.00,12.00,169.00
1321.25,1,Stevron Frey,stevron.frey@travelers.com,Stevron,Frey,13.00,1.00,12.00,3.00,228.73,1.00,0.00,0.00,1.00,6.00,1.00,13.00,0.00,0.00,0.00,0.00,63.00,1.00,0.00,1.00,15.00,0.00
1505.00,1,Praed,praed@nike.com,Praed,Praed,16.00,1.00,12.00,5.00,14.26,1.00,0.00,0.00,1.00,6.00,1.00,52.00,0.00,1.00,0.00,0.00,63.00,1.00,0.00,2.00,18.00,0.00
1493.00,0,Alysane Mormont,alysane.mormont@caterpillar.com,Alysane,Mormont,95.00,3.00,6.00,8.00,49.26,1.00,0.00,0.00,0.00,6.00,1.00,12.00,0.00,2.00,1.00,0.00,84.80,1.00,1.00,3.00,14.00,147.00
